Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Order Quantity,Sub Total,Discount%,Discount $,Order Total,Shipping Cost,Total
5168-2,13/7/15,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-07-17,1.31,2.84,39,110.76,7,7.75,110.69,0.93,111.62
5352-1,13/12/29,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Medium,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-12-30,2.39,4.26,26,110.76,10,11.08,110.66,1.20,111.86
5773-1,15/1/23,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Not Specified,"Message Book, One Form per Page",Office Supplies,Wrap Bag,Regular Air,2015-01-25,2.41,3.71,14,51.94,9,4.67,51.85,1.93,53.78
6315-1,16/5/31,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,Mihael Khan,Low,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,2016-06-02,0.94,2.08,49,101.92,8,8.15,101.84,2.56,104.40
5877-1,15/4/29,Chuck Clark,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2015-05-04,1.84,2.88,29,83.52,3,2.51,83.49,0.99,84.48
6113-1,15/11/10,Chuck Clark,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,Smiths File Caddy,Office Supplies,Small Box,Regular Air,2015-11-10,4.03,9.38,24,225.12,5,11.26,225.07,7.28,232.35
6321-1,16/6/11,Chuck Clark,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Regular Air,2016-06-12,1.31,2.84,9,25.56,8,2.04,25.48,0.93,26.41
6442-1,16/10/19,Chuck Clark,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,2016-10-21,5.19,12.98,49,636.02,9,57.24,635.93,3.14,639.07
5198-1,13/8/2,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2013-08-04,1.53,2.78,40,111.20,3,3.34,111.17,1.34,112.51
5315-1,13/11/19,Chuck Magee,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-11-21,4.59,7.28,3,21.84,1,0.22,21.83,11.15,32.98
5513-1,14/6/7,Chuck Sachs,"1/41B Elizabeth Bay Rd,Elizabeth Bay",Sydney,NSW,Consumer,Charlie Bui,Medium,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,2014-06-08,278.99,449.99,5,2249.95,1,22.50,2249.94,49.00,2298.94
5627-1,14/9/27,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Office Shears by Apex,Office Supplies,Small Pack,Regular Air,2014-10-02,0.94,2.08,36,74.88,1,0.75,74.87,2.56,77.43
6269-1,16/4/23,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2016-04-24,0.24,1.26,11,13.86,0,0.00,13.86,0.70,14.56
6339-1,16/6/25,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Regular Air,2016-06-27,2.90,4.76,5,23.80,9,2.14,23.71,0.88,24.59
6523-1,16/12/10,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2016-12-12,0.24,1.26,37,46.62,3,1.40,46.59,0.70,47.29
6541-1,16/12/28,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Artisan Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Small Box,Regular Air,2016-12-30,3.75,5.77,42,242.34,0,0.00,242.34,4.97,247.31
6577-1,17/2/2,Cindy Chapman,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2017-02-04,3.75,7.08,46,325.68,10,32.57,325.58,2.35,327.93
5875-1,15/4/28,Cindy Schnelling,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Emerson Stylus 1520 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2015-05-01,315.61,500.97,44,22042.68,9,1983.84,22042.59,69.30,22111.89
5919-1,15/5/29,Cindy Schnelling,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2015-05-31,1.84,2.88,24,69.12,7,4.84,69.05,0.99,70.04
6110-1,15/11/7,Cindy Schnelling,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2015-11-08,3.47,6.68,12,80.16,6,4.81,80.10,1.50,81.60
5278-1,13/10/20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Critical,Artisan 479 Labels,Office Supplies,Small Box,Express Air,2013-10-20,1.59,2.61,1,2.61,6,0.16,2.55,0.50,3.05
5316-1,13/11/20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Low,Emerson C82 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2013-11-27,76.79,119.99,4,479.96,6,28.80,479.90,14.00,493.90
6052-1,15/9/2,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Medium,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,2015-09-04,156.50,300.97,20,6019.40,5,300.97,6019.35,7.18,6026.53
6290-1,16/5/9,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,High,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,Regular Air,2016-05-11,84.22,210.55,4,842.20,5,42.11,842.15,9.99,852.14
5786-1,15/2/3,Claire Good,"7/370-374 Victoria Ave,Chatswood",Sydney,NSW,Home Office,Stevie Bacata,Medium,Artisan Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Wrap Bag,Express Air,2015-02-03,1.76,3.38,5,16.90,8,1.35,16.82,0.85,17.67
6213-1,16/2/22,Clay Cheatham,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,2016-02-23,278.99,449.99,38,17099.62,1,171.00,17099.61,49.00,17148.61
6335-1,16/6/20,Clay Ludtke,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Consumer,Preston Senome,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,Regular Air,2016-06-21,21.56,36.55,34,1242.70,10,124.27,1242.60,13.89,1256.49
6390-1,16/8/31,Clay Ludtke,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Consumer,Preston Senome,Critical,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,2016-09-02,3.32,5.18,32,165.76,6,9.95,165.70,2.04,167.74
5755-1,15/1/15,Clay Rozendal,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Critical,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2015-01-17,1.84,2.88,27,77.76,6,4.67,77.70,0.99,78.69
5498-1,14/5/25,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Radhya Staples,Low,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,2014-05-29,278.99,449.99,47,21149.53,10,2114.95,21149.43,49.00,21198.43
6088-1,15/10/13,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Radhya Staples,Low,Cando PC940 Copier,Technology,Jumbo Drum,Delivery Truck,2015-10-15,278.99,449.99,47,21149.53,2,422.99,21149.51,49.00,21198.51
6261-1,16/4/11,Corey Lock,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Express Air,2016-04-12,2.39,4.26,34,144.84,3,4.35,144.81,1.20,146.01
5194-1,13/7/30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Emerson C82 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2013-07-31,76.79,119.99,24,2879.76,2,57.60,2879.74,14.00,2893.74
5778-1,15/1/30,Corinna Mitchell,"27 Greenfield Parade,Bankstown",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Adesso Programmable 142-Key Keyboard,Technology,Small Box,Regular Air,2015-01-31,32.02,152.48,21,3202.08,3,96.06,3202.05,4.00,3206.05
5050-1,13/4/19,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-04-20,5.33,8.60,36,309.60,6,18.58,309.54,6.19,315.73
5166-1,13/7/10,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Not Specified,DrawIt Colored Pencils,Office Supplies,Wrap Bag,Regular Air,2013-07-13,4.37,9.11,6,54.66,4,2.19,54.62,2.25,56.87
6140-1,15/12/9,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2015-12-09,1.09,2.60,14,36.40,8,2.91,36.32,2.40,38.72
5533-1,14/6/22,Craig Leslie,"10 Bligh St,Melbourne",Melbourne,VIC,Consumer,Charlie Bui,Medium,Artisan 478 Labels,Office Supplies,Small Box,Express Air,2014-06-24,3.14,4.91,24,117.84,1,1.18,117.83,0.50,118.33
6242-1,16/3/27,Craig Leslie,"10 Bligh St,Melbourne",Melbourne,VIC,Consumer,Charlie Bui,High,Cando PC940 Copier,Technology,Large Box,Regular Air,2016-03-28,216.00,449.99,49,22049.51,6,1322.97,22049.45,24.49,22073.94
5848-1,15/4/8,Craig Molinari,"Shop 1 797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,Regular Air,2015-04-09,3.48,5.43,13,70.59,2,1.41,70.57,0.95,71.52
5145-1,13/6/29,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Low,Alto Memo Cubes,Office Supplies,Wrap Bag,Express Air,2013-07-04,3.32,5.18,1,5.18,2,0.10,5.16,2.04,7.20
5145-2,13/6/29,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Low,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-07-03,2.98,5.84,4,23.36,9,2.10,23.27,0.83,24.10
6189-1,16/2/4,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Express Air,2016-02-05,16.80,40.97,49,2007.53,4,80.30,2007.49,8.99,2016.48
6240-1,16/3/26,Cyma Kinney,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2016-03-28,1.59,2.61,8,20.88,2,0.42,20.86,0.50,21.36
5216-1,13/8/20,Cynthia Arntzen,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Low,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-08-22,3.47,6.68,5,33.40,9,3.01,33.31,1.50,34.81
6434-1,16/10/14,Cynthia Arntzen,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Medium,Beekin 105-Key Black Keyboard,Technology,Small Box,Regular Air,2016-10-17,6.39,19.98,9,179.82,6,10.79,179.76,4.00,183.76
6550-1,17/1/4,Cynthia Arntzen,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Medium,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2017-01-06,1.60,2.62,35,91.70,4,3.67,91.66,0.80,92.46
5256-1,13/9/30,Cynthia Delaney,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Not Specified,Alto Memo Cubes,Office Supplies,Wrap Bag,Regular Air,2013-10-02,3.32,5.18,10,51.80,1,0.52,51.79,2.04,53.83
5977-1,15/7/18,Cynthia Delaney,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2015-07-20,2.50,5.68,21,119.28,7,8.35,119.21,3.60,122.81
6391-1,16/9/3,Cynthia Voltz,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Not Specified,TechSavi Access Keyboard,Technology,Small Box,Regular Air,2016-09-05,10.07,15.98,30,479.40,8,38.35,479.32,4.00,483.32
6065-1,15/9/11,Cyra Reiten,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,Nicholas Fernandes,Not Specified,Pizazz Colored Pencils,Office Supplies,Wrap Bag,Express Air,2015-09-11,1.76,2.94,47,138.18,4,5.53,138.14,0.81,138.95
6169-1,16/1/17,Cyra Reiten,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,Nicholas Fernandes,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,Small Pack,Regular Air,2016-01-17,1.87,8.12,36,292.32,10,29.23,292.22,2.83,295.05
6485-1,16/11/10,Cyra Reiten,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,Nicholas Fernandes,Not Specified,Laser DVD-RAM discs,Technology,Small Pack,Regular Air,2016-11-12,20.18,35.41,21,743.61,9,66.92,743.52,1.99,745.51
6083-1,15/10/1,Damala Kotsonis,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,2015-10-10,1.05,1.95,4,7.80,9,0.70,7.71,1.63,9.34
5286-1,13/10/25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Small Business,Leighton Forrest,High,Brown Kraft Recycled Envelopes,Office Supplies,Small Box,Regular Air,2013-10-27,11.04,16.98,27,458.46,10,45.85,458.36,12.39,470.75
5332-1,13/12/9,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2013-12-09,0.24,1.26,9,11.34,6,0.68,11.28,0.70,11.98
6037-1,15/8/24,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Small Business,Leighton Forrest,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,Regular Air,2015-08-26,16.80,40.97,28,1147.16,4,45.89,1147.12,8.99,1156.11
6411-1,16/9/21,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Medium,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2016-09-21,2.45,3.89,50,194.50,8,15.56,194.42,7.01,201.43
6487-1,16/11/12,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,Regular Air,2016-11-12,19.83,30.98,15,464.70,0,0.00,464.70,19.51,484.21
6136-1,15/12/6,Dan Lawera,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2015-12-07,1.18,1.88,20,37.60,7,2.63,37.53,1.49,39.02
6300-1,16/5/21,Dana Kaydos,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Critical,Aluminum Document Frame,Furniture,Small Pack,Regular Air,2016-05-22,5.50,12.22,10,122.20,1,1.22,122.19,2.85,125.04
5539-1,14/6/29,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2014-06-30,4.53,7.30,50,365.00,2,7.30,364.98,7.72,372.70
5539-2,14/6/29,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,Smiths Paper Clips,Office Supplies,Wrap Bag,Regular Air,2014-06-30,1.53,2.47,43,106.21,2,2.12,106.19,1.02,107.21
6306-1,16/5/23,Daniel Lacy,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Express Air,2016-05-24,2.39,4.26,5,21.30,1,0.21,21.29,1.20,22.49
5068-1,13/5/3,Dario Medina,"60 York St,Sydney",Sydney,NSW,Small Business,Charlie Bui,Critical,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2013-05-05,3.52,5.68,20,113.60,7,7.95,113.53,1.39,114.92
5038-1,13/3/13,Darren Powers,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Low,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,2013-03-13,0.71,1.14,38,43.32,2,0.87,43.30,0.70,44.00
5234-1,13/9/4,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Alto Memo Cubes,Office Supplies,Wrap Bag,Express Air,2013-09-06,3.32,5.18,37,191.66,7,13.42,191.59,2.04,193.63
6187-1,16/2/3,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Low,Smiths Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2016-02-05,3.95,6.08,42,255.36,9,22.98,255.27,1.82,257.09
5280-1,13/10/21,Darrin Sayre,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-23,3.65,5.98,40,239.20,0,0.00,239.20,1.49,240.69
5775-1,15/1/26,Darrin Sayre,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Not Specified,OIC Thumb-Tacks,Office Supplies,Wrap Bag,Regular Air,2015-01-28,0.71,1.14,42,47.88,6,2.87,47.82,0.70,48.52
6264-1,16/4/17,Darrin Sayre,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,2016-04-19,1.05,1.95,23,44.85,9,4.04,44.76,1.63,46.39
5388-1,14/1/25,Darrin Van Huff,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2014-01-27,1.09,2.60,27,70.20,9,6.32,70.11,2.40,72.51
6393-1,16/9/6,Darrin Van Huff,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,300 Series Non-Flip,Technology,Small Box,Express Air,2016-09-08,62.40,155.99,22,3431.78,2,68.64,3431.76,8.08,3439.84
5736-1,15/1/2,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Medium,Col-Erase Pencils with Erasers,Office Supplies,Wrap Bag,Regular Air,2015-01-04,2.68,6.08,30,182.40,4,7.30,182.36,1.17,183.53
6009-1,15/8/3,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Low,Economy Binders,Office Supplies,Small Box,Regular Air,2015-08-08,1.33,2.08,20,41.60,10,4.16,41.50,1.49,42.99
6167-1,16/1/12,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Home Office,Charlie Bui,High,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2016-01-14,13.64,20.98,34,713.32,7,49.93,713.25,1.49,714.74
6371-1,16/8/15,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Low,Artisan Binder Labels,Office Supplies,Small Box,Express Air,2016-08-20,2.45,3.89,30,116.70,9,10.50,116.61,7.01,123.62
6553-1,17/1/10,Dave Hallsten,"1 John St,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2017-01-11,1.84,2.88,22,63.36,2,1.27,63.34,0.99,64.33
5075-1,13/5/5,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,TechSavi Access Keyboard,Technology,Small Box,Regular Air,2013-05-10,10.07,15.98,34,543.32,10,54.33,543.22,4.00,547.22
5099-1,13/5/21,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,Yvette Biti,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2013-05-21,3.42,8.34,24,200.16,10,20.02,200.06,2.64,202.70
5211-1,13/8/12,Dave Poirier,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,High,Economy Rollaway Files,Office Supplies,Small Box,Express Air,2013-08-14,67.73,165.20,37,6112.40,4,244.50,6112.36,19.99,6132.35
6426-1,16/10/1,David Flashing,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Wrap Bag,Regular Air,2016-10-02,1.30,2.88,46,132.48,5,6.62,132.43,1.01,133.44
5790-1,15/2/4,David Smith,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Critical,Smiths Bulldog Clip,Office Supplies,Wrap Bag,Regular Air,2015-02-06,2.31,3.78,34,128.52,3,3.86,128.49,0.71,129.20
5471-1,14/4/17,Dean Percer,"222 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Medium,Apex Box Cutter Scissors,Office Supplies,Small Pack,Regular Air,2014-04-18,4.19,10.23,22,225.06,7,15.75,224.99,4.68,229.67
6359-1,16/8/2,Dean Percer,"222 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Deluxe Rollaway Locking File with Drawer,Office Supplies,Small Box,Regular Air,2016-08-04,178.83,415.88,4,1663.52,4,66.54,1663.48,11.37,1674.85
6235-1,16/3/21,Deanra Eno,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Medium,1726 Digital Answering Machine,Technology,Medium Box,Regular Air,2016-03-22,8.82,20.99,2,41.98,7,2.94,41.91,4.81,46.72
5122-1,13/6/5,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,Regular Air,2013-06-05,156.50,300.97,38,11436.86,9,1029.32,11436.77,7.18,11443.95
5494-1,14/5/17,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,2014-05-18,5.19,12.98,20,259.60,4,10.38,259.56,3.14,262.70
5867-1,15/4/23,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,High,HFX LaserJet 3310 Copier,Technology,Large Box,Regular Air,2015-04-23,377.99,599.99,50,29999.50,9,2699.96,29999.41,24.49,30023.90
6353-1,16/7/12,Debra Catini,"506 Swan Street,Richmond",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2016-07-13,3.65,5.98,22,131.56,7,9.21,131.49,1.49,132.98
6243-1,16/3/27,Deirdre Greer,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Home Office,Natasha Song,Low,Cando S750 Color Inkjet Printer,Technology,Jumbo Drum,Delivery Truck,2016-04-03,75.00,120.97,42,5080.74,0,0.00,5080.74,26.30,5107.04
5434-1,14/3/6,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2014-03-07,4.46,10.89,32,348.48,10,34.85,348.38,4.50,352.88
5156-1,13/7/3,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,High,Self-Adhesive Removable Labels,Office Supplies,Small Box,Regular Air,2013-07-05,1.98,3.15,23,72.45,1,0.72,72.44,0.49,72.93
6071-1,15/9/25,Denise Leinenbach,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,Regular Air,2015-09-26,13.64,20.98,10,209.80,6,12.59,209.74,1.49,211.23
5943-1,15/6/25,Denise Monton,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2015-06-25,1.09,2.60,26,67.60,8,5.41,67.52,2.40,69.92
5943-2,15/6/25,Denise Monton,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Medium,TechSavi Cordless Navigator Duo,Technology,Small Box,Regular Air,2015-06-27,42.11,80.98,34,2753.32,2,55.07,2753.30,7.18,2760.48
5350-1,13/12/27,Denise Monton,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Low,Binding Machine Supplies,Office Supplies,Small Box,Regular Air,2013-12-29,18.38,29.17,37,1079.29,9,97.14,1079.20,6.27,1085.47
6349-1,16/7/5,Denise Monton,"2/797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Express Air,2016-07-07,2.26,3.58,36,128.88,4,5.16,128.84,5.47,134.31
